Wvlgth nm,Global tilt  W*m-2*nm-1,photon energy (J),photon flux (s-1 m-2 nm-1)
1261.0,4.1146E-01,1.57532E-19,2.6119E+18
1262.0,3.9567E-01,1.57407E-19,2.5137E+18
1263.0,4.0019E-01,1.57282E-19,2.5444E+18
1264.0,3.7148E-01,1.57158E-19,2.3637E+18
1265.0,3.9570E-01,1.57034E-19,2.5198E+18
1266.0,3.8527E-01,1.5691E-19,2.4554E+18
1267.0,3.8822E-01,1.56786E-19,2.4761E+18
1268.0,3.7051E-01,1.56662E-19,2.3650E+18
1269.0,2.4652E-01,1.56539E-19,1.5748E+18
1270.0,3.8744E-01,1.56415E-19,2.4770E+18
1271.0,4.0825E-01,1.56292E-19,2.6121E+18
1272.0,4.0879E-01,1.56169E-19,2.6176E+18
1273.0,4.0625E-01,1.56047E-19,2.6034E+18
1274.0,4.0614E-01,1.55924E-19,2.6047E+18
1275.0,4.1233E-01,1.55802E-19,2.6465E+18
1276.0,4.1693E-01,1.5568E-19,2.6781E+18
1277.0,4.2001E-01,1.55558E-19,2.7000E+18
1278.0,4.2763E-01,1.55436E-19,2.7512E+18
1279.0,4.2456E-01,1.55315E-19,2.7335E+18
1280.0,4.2204E-01,1.55193E-19,2.7194E+18
1281.0,4.1335E-01,1.55072E-19,2.6655E+18
1282.0,3.7305E-01,1.54951E-19,2.4075E+18
1283.0,4.0733E-01,1.5483E-19,2.6308E+18
1284.0,4.2078E-01,1.5471E-19,2.7198E+18
1285.0,4.2399E-01,1.54589E-19,2.7427E+18
1286.0,4.2714E-01,1.54469E-19,2.7652E+18
1287.0,4.2213E-01,1.54349E-19,2.7349E+18
1288.0,4.1989E-01,1.54229E-19,2.7225E+18
1289.0,4.0936E-01,1.5411E-19,2.6563E+18
1290.0,4.1285E-01,1.5399E-19,2.6810E+18
1291.0,4.1786E-01,1.53871E-19,2.7157E+18
1292.0,3.9618E-01,1.53752E-19,2.5767E+18
1293.0,4.1257E-01,1.53633E-19,2.6854E+18
1294.0,4.0421E-01,1.53514E-19,2.6330E+18
1295.0,4.0514E-01,1.53396E-19,2.6411E+18
1296.0,3.8957E-01,1.53277E-19,2.5416E+18
1297.0,3.7130E-01,1.53159E-19,2.4243E+18
1298.0,3.9183E-01,1.53041E-19,2.5603E+18
1299.0,4.0852E-01,1.52923E-19,2.6714E+18
1300.0,3.5312E-01,1.52806E-19,2.3109E+18
1301.0,3.6228E-01,1.52688E-19,2.3727E+18
1302.0,3.9181E-01,1.52571E-19,2.5680E+18
1303.0,3.4621E-01,1.52454E-19,2.2709E+18
1304.0,3.0062E-01,1.52337E-19,1.9734E+18
1305.0,3.8382E-01,1.5222E-19,2.5215E+18
1306.0,3.8453E-01,1.52104E-19,2.5281E+18
1307.0,3.0594E-01,1.51987E-19,2.0129E+18
1308.0,3.4696E-01,1.51871E-19,2.2846E+18
1309.0,3.8413E-01,1.51755E-19,2.5312E+18
1310.0,3.0114E-01,1.51639E-19,1.9859E+18
1311.0,3.3366E-01,1.51524E-19,2.2020E+18
1312.0,3.3337E-01,1.51408E-19,2.2018E+18
1313.0,3.1352E-01,1.51293E-19,2.0723E+18
1314.0,2.8833E-01,1.51178E-19,1.9072E+18
1315.0,2.8581E-01,1.51063E-19,1.8920E+18
1316.0,3.2419E-01,1.50948E-19,2.1477E+18
1317.0,3.1217E-01,1.50833E-19,2.0696E+18
1318.0,3.3328E-01,1.50719E-19,2.2113E+18
1319.0,2.6855E-01,1.50605E-19,1.7831E+18
1320.0,2.5872E-01,1.50491E-19,1.7192E+18
1321.0,2.9866E-01,1.50377E-19,1.9861E+18
1322.0,3.0217E-01,1.50263E-19,2.0109E+18
1323.0,2.3279E-01,1.50149E-19,1.5504E+18
1324.0,2.6249E-01,1.50036E-19,1.7495E+18
1325.0,3.2224E-01,1.49923E-19,2.1494E+18
1326.0,2.8051E-01,1.4981E-19,1.8724E+18
1327.0,2.6625E-01,1.49697E-19,1.7786E+18
1328.0,2.3450E-01,1.49584E-19,1.5677E+18
1329.0,1.7759E-01,1.49471E-19,1.1881E+18
1330.0,2.2923E-01,1.49359E-19,1.5348E+18
1331.0,1.4480E-01,1.49247E-19,9.7021E+17
