Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1),Mass Attenuation Coeff (Lg-1cm-1)
Wavelength (nm),TIPS-Tc,PbS-TET-CA
1062,0.00173,0.2205
1061,-0.00102,0.21762
1060,-0.00345,0.21138
1059,-0.00411,0.21486
1058,-0.00367,0.2144
1057,-9.05E-04,0.21108
1056,-0.00135,0.21844
1055,-0.0032,0.2168
1054,0.00167,0.21858
1053,-0.0029,0.21164
1052,-0.00206,0.21192
1051,9.13E-04,0.21208
1050,-0.00559,0.20222
1049,-0.00533,0.19754
1048,-0.00111,0.20742
1047,0.00206,0.21624
1046,-0.00167,0.209
1045,-0.00165,0.20888
1044,-0.00211,0.2127
1043,-0.00166,0.21286
1042,-0.00286,0.20416
1041,-0.00467,0.20004
1040,-0.00354,0.20276
1039,-0.00177,0.20684
1038,-0.00496,0.21292
1037,-0.00374,0.20734
1036,-0.00576,0.1976
1035,-0.00211,0.20912
1034,-0.00118,0.20632
1033,3.94E-04,0.20934
1032,-1.07E-04,0.2133
1031,-0.00228,0.20994
1030,-0.00448,0.19844
1029,-0.00451,0.1996
1028,-0.00408,0.20782
1027,-0.00106,0.21042
1026,-0.00301,0.21046
1025,-0.00298,0.20838
1024,-0.00288,0.20894
1023,-0.00605,0.20092
1022,-0.00625,0.2052
1021,-0.00288,0.21468
1020,6.17E-04,0.21082
1019,-0.00267,0.20346
1018,-0.00361,0.19494
1017,-0.00636,0.20016
1016,-0.00559,0.19944
1015,-0.00487,0.2005
1014,-0.00749,0.20162
1013,-0.00292,0.20218
1012,-0.00498,0.19926
1011,7.89E-04,0.21204
1010,-7.84E-04,0.21316
1009,-0.00355,0.20698
1008,0.00242,0.2106
1007,-8.47E-04,0.20868
1006,-0.00593,0.20266
1005,-4.07E-04,0.21298
1004,-7.92E-04,0.21112
1003,-0.00412,0.20466
1002,-0.00527,0.19856
1001,-7.57E-04,0.20462
1000,0.00311,0.21026
999,0.00374,0.21538
998,0.00496,0.21734
997,-0.00346,0.2097
996,-0.00306,0.2064
995,7.16E-04,0.21058
994,-0.00261,0.2022
993,-0.00245,0.21228
992,1.26E-04,0.20944
991,-0.00521,0.20272
990,-0.00106,0.21156
989,-9.07E-04,0.20866
988,-0.00149,0.21418
987,0.0016,0.22346
986,-2.81E-04,0.2103
985,-0.00114,0.2119
984,0.00405,0.2224
983,8.39E-05,0.21674
982,-0.00266,0.2169
981,-0.00149,0.21714
980,5.87E-04,0.22018
979,0.00155,0.21824
978,-0.00204,0.21832
977,-2.21E-05,0.21094
976,0.00149,0.21718
975,0.00158,0.21966
974,0.00438,0.23114
973,0.00407,0.22672
972,0.00823,0.23128
971,-0.00521,0.2125
970,-0.00327,0.22422
969,-0.00662,0.21818
968,-0.00141,0.22768
967,6.99E-04,0.22892
966,0.00713,0.24384
965,-0.00158,0.2217
964,0.00446,0.23396
963,0.00386,0.22858
962,0.00128,0.22792
961,0.00323,0.23456
960,-0.00206,0.22142
959,-0.00132,0.22612
958,-0.0045,0.21666
